Obs.Number,ID,Date,Rank,Age,Srv.Branch,Major.Cause.of.Death,Minor.Cause.of.Death,Where,Hometown,State,Country,Julian
1,1,3/21/2003,2nd Lieutenant,30,U.S. Marine,Hostile,hostile fire,Southern Iraq,Harrison Co.,Mississippi,US,15785
2,14,3/21/2003,Lance Corporal,22,U.S. Marine,Hostile,friendly fire,Um Qasr,Guatemala City,Guatemala,US,15785
3,13,3/21/2003,Major,34,Royal Navy,Hostile,helicopter crash,Um Qasr,Plymouth,England,UK,15785
4,12,3/21/2003,Warrant Off. 2nd Class,39,Royal Navy,Hostile,helicopter crash,Um Qasr,Plymouth,England,UK,15785
5,11,3/21/2003,Oper. Mech. 2nd Class,28,British Army,Hostile,helicopter crash,Um Qasr,Poole,England,UK,15785
6,10,3/21/2003,Sergeant,34,British Army,Hostile,helicopter crash,Um Qasr,Poole,England,UK,15785
7,9,3/21/2003,Royal Navy Marine,26,Royal Navy,Hostile,helicopter crash,Um Qasr,Pretoria,South Africa,UK,15785
8,8,3/21/2003,Captain,29,Royal Navy,Hostile,helicopter crash,Um Qasr,N. Yorkshire,England,UK,15785
9,7,3/21/2003,Lance Bombardier,24,British Army,Hostile,helicopter crash,Um Qasr,Llandudno,Wales,UK,15785
10,6,3/21/2003,Colour Sergeant,36,Royal Navy,Hostile,helicopter crash,Um Qasr,Plymouth,England,UK,15785
11,5,3/21/2003,Staff Sergeant,29,U.S. Marine,Hostile,helicopter crash,Um Qasr,Baltimore,Maryland,US,15785
12,4,3/21/2003,Corporal,25,U.S. Marine,Hostile,helicopter crash,Um Qasr,Houston,Texas,US,15785
13,3,3/21/2003,Captain,30,U.S. Marine,Hostile,helicopter crash,Um Qasr,Bloomington,Illinois,US,15785
14,2,3/21/2003,Major,36,U.S. Marine,Hostile,helicopter crash,Um Qasr,Waterville,Maine,US,15785
15,21,3/22/2003,Lance Corporal,26,U.S. Marine,Non-hostile,weapon discharge (accid.),Jalibah,Buffalo,New York,US,15786
16,23,3/22/2003,Lieutenant,27,U.S. Navy,Hostile,helicopter crash,Persian Gulf,La Mesa,California,US,15786
17,20,3/22/2003,Lieutenant,36,Royal Navy,Hostile,helicopter crash,Persian Gulf,NA,England,UK,15786
18,19,3/22/2003,Lieutenant,28,Royal Navy,Hostile,helicopter crash,Persian Gulf,Falmouth,England,UK,15786
19,18,3/22/2003,Lieutenant,32,Royal Navy,Hostile,helicopter crash,Persian Gulf,Budock Water,England,UK,15786
20,17,3/22/2003,Lieutenant,26,Royal Navy,Hostile,helicopter crash,Persian Gulf,NA,England,UK,15786
21,16,3/22/2003,Lieutenant,35,Royal Navy,Hostile,helicopter crash,Persian Gulf,Helston,England,UK,15786
22,15,3/22/2003,Lieutenant,31,Royal Navy,Hostile,helicopter crash,Persian Gulf,NA,England,UK,15786
23,22,3/22/2003,Specialist,19,U.S. Army Reserve,Non-hostile,vehicle accident,Southern Iraq,Portland,Oregon,US,15786
24,57,3/23/2003,Staff Sergeant,36,British Army,Hostile,hostile fire,Al Zubayr,Essex,England,UK,15787
25,56,3/23/2003,Sapper,24,British Army,Hostile,hostile fire,Al Zubayr,North London,England,UK,15787
26,53,3/23/2003,Private,19,U.S. Marine,Hostile,friendly fire,An Nasiriyah,Boiling Springs,South Carolina,US,15787
27,55,3/23/2003,Corporal,22,U.S. Marine,Hostile,hostile fire,An Nasiriyah,Waterford,Connecticut,US,15787
